RESEARCH_ORG_CLEAN,total_funding,total_publications,avg_field_citation_ratio,avg_relative_citation_ratio,num_grants,dominant_field,impact_efficiency,cost_per_impact
UNIVERSITY OF CALIFORNIA SANTA BARBARA,181523905.00618824,1142.5120324120323,6.15984179537162,1.619927489177489,354,Defense,3.8770063748500195e-05,25793.096614103055
UNIVERSITY OF CALIFORNIA SANTA CRUZ,157276531.32030967,1073.1272041177212,7.732467797658732,2.9360491592023603,239,Biomedical,5.276007474842045e-05,18953.72599012359
UNIVERSITY OF CALIFORNIABERKELEY,478451485.0,3145.0,7.400186382763016,1.9505282790309106,577,Physical Sciences,4.86435655514575e-05,20557.70354543916
UNIVERSITY OF CALIFORNIADAVIS,265470128.0,2086.0,5.23099450374542,1.3858696149529484,423,Physical Sciences,4.1103888475214606e-05,24328.59851210899
UNIVERSITY OF CALIFORNIAIRVINE,910136813.0,6954.0,6.575288142795268,1.9735042173903876,977,Biomedical,5.0239209195681975e-05,19904.7719104215
UNIVERSITY OF CALIFORNIALOS ANGELES,341723967.0,3609.0,5.632239810165184,1.539189091466991,568,Physical Sciences,5.948296121379789e-05,16811.536944264237
UNIVERSITY OF CALIFORNIARIVERSIDE,169512797.0,1965.0,5.187452625208374,1.4938735004578754,321,Physical Sciences,6.013318515730973e-05,16629.752729445117
UNIVERSITY OF CALIFORNIASAN DIEGO,446110044.0,4012.0,6.571525310440382,2.1454600714396492,539,Engineering & CS,5.9099677086595285e-05,16920.56622466412
UNIVERSITY OF CALIFORNIASANTA BARBARA,341436960.0,2866.0,5.378445105430162,1.4745615996907866,358,Physical Sciences,4.514632414769286e-05,22150.19758261102
UNIVERSITY OF CALIFORNIASANTA CRUZ,110912189.0,1253.0,5.7815099379909585,1.412213451347223,237,Physical Sciences,6.53150209874829e-05,15310.413820300875
UNIVERSITY OF CAMBRIDGE,32172784.348183874,378.35430535630513,10.052269945891538,3.547113405781669,179,Other,0.0001182154323813304,8459.132448750648
UNIVERSITY OF CAPE TOWN,5514307.065772308,80.46373177261336,18.010780088358867,8.225667586766399,37,Other,0.000262809916234192,3805.0314627736193
UNIVERSITY OF CHICAGO,1148748164.9561818,5775.017937136636,8.093708092664508,2.049760124389105,1147,Biomedical,4.068890888271268e-05,24576.721948542236
UNIVERSITY OF CHICAGO THE,27333615.0,194.0,16.019956636500755,2.1336031746031745,36,Defense,0.00011370144737463911,8794.962800298073
UNIVERSITY OF COLORADO,179939838.3734336,1898.2763157894738,6.073144853218126,2.0859931940413734,204,Biomedical,6.406867507181657e-05,15608.2515968852
UNIVERSITY OF COLORADO AT BOULDER,572770541.4082967,4245.595925000925,6.98157042683838,1.819249518553942,752,Physical Sciences,5.17500898028249e-05,19323.637964883543
UNIVERSITY OF COLORADO BOULDER,39879764.37199092,689.5302521008404,5.978039088373872,1.5163032123960696,459,Physical Sciences,0.00010336166385602265,9674.766859335268
UNIVERSITY OF EDINBURGH,26590700.033115394,241.88602071262042,8.280902527362839,2.645092955120735,147,Other,7.532838766028534e-05,13275.20780757691
UNIVERSITY OF EXETER,8539173.616670853,83.58974511546886,7.7778832692860504,2.31221497725845,70,Other,7.613749400155228e-05,13134.133361148086
UNIVERSITY OF FLORIDA,1447266771.5419266,10784.678563822701,5.226557700319931,1.7924663856704393,2158,Biomedical,3.8947031674864864e-05,25675.89767426017
